"id","scanId","target","hostname","ipAddress","userId","topology","status","healthScore","criticalAlerts","warningAlerts","infoAlerts","executionTimeSeconds","startedAt","completedAt","timestamp","actualFinding","ComputerName","Manufacturer","Model","DomainUser","Screensaver_Policy","RestrictSoftwareInstallation_Policy","LastPolicy_Checked","EnabledLocalUserAccount","AllSecurityKBs","AllSecurityKBsInstalledOn","OS_Edition","OS_Version","OS_Build","SymantecManagementAgent","ReadOnlyUSB","Poweron_Password","Admin_Password","TimeSyncWithNTP","LastChecked","Comments","IsDeleted","DeletedAt","DeletedBy","DeleteReason"
"9964dc11-693c-47a1-b620-ac93a93203b4","9964dc11-693c-47a1-b620-ac93a93203b4","KTMMISDTKUMARAR","KTMMISDTKUMARAR","10.192.10.152",,,"completed","90","0","1","4","8","5/5/2026 12:39:02 AM","5/5/2026 12:39:10 AM","5/5/2026 12:39:10 AM","Memory Utilization: 80% (Warning)","KTMMISDTKUMARAR","Dell Inc.","OptiPlex 3060","SNPL\000971","Configured","Configured","2026-05-05 00:17:20","HOUSER","KB5082420; KB5083769","2026-04-20; 2026-04-20","Microsoft Windows 11 Business","10.0.26100","26100","AeXNSClient - Running","Enabled","Unknown","Unknown","Configured","5/5/2026 12:39:10 AM",,"False",,,
"92a99def-29a2-4031-b002-3c029e5553c6","92a99def-29a2-4031-b002-3c029e5553c6","ktmteclpmksrini","ktmteclpmksrini","10.192.10.186",,,"completed","100","0","0","5","6","5/4/2026 10:35:11 PM","5/4/2026 10:35:17 PM","5/4/2026 10:35:17 PM","","KTMHRDDTHRGATE","Dell Inc.","OptiPlex 3070","SNPL\TM0468","Configured","Configured","Unknown","HOUSER","KB5083769; KB5088467","2026-05-04; 2026-05-04","Microsoft Windows 11 Pro","10.0.26100","26100","AeXNSClient - Running","Enabled","Unknown","Unknown","Configured","5/4/2026 10:35:17 PM",,"False",,,
"0501eaef-ced8-45f1-874a-d191bb727f1b","0501eaef-ced8-45f1-874a-d191bb727f1b","KTMMISDTKUMARAR","KTMMISDTKUMARAR","10.192.10.152",,,"completed","90","0","1","4","8","5/4/2026 10:20:51 PM","5/4/2026 10:20:59 PM","5/4/2026 10:20:59 PM","Memory Utilization: 79% (Warning)","KTMMISDTKUMARAR","Dell Inc.","OptiPlex 3060","SNPL\000971","Configured","Configured","2026-05-04 22:24:20","HOUSER","KB5082420; KB5083769","2026-04-20; 2026-04-20","Microsoft Windows 11 Business","10.0.26100","26100","AeXNSClient - Running","Enabled","Unknown","Unknown","Configured","5/4/2026 10:20:59 PM",,"False",,,
"546b9e9d-eb3a-4869-835a-039c5dc306a3","546b9e9d-eb3a-4869-835a-039c5dc306a3","KTMMISDTKUMARAR","KTMMISDTKUMARAR","10.192.10.152",,,"completed","90","0","1","4","8","5/4/2026 10:16:27 PM","5/4/2026 10:16:35 PM","5/4/2026 10:16:35 PM","Memory Utilization: 79% (Warning)","KTMMISDTKUMARAR","Dell Inc.","OptiPlex 3060","SNPL\000971","Configured","Configured","Unknown","HOUSER","KB5082420; KB5083769","2026-04-20; 2026-04-20","Microsoft Windows 11 Business","10.0.26100","26100","AeXNSClient - Running","Enabled","Unknown","Unknown","Configured","5/4/2026 10:16:35 PM",,"False",,,
"1c98da25-e28d-4dbb-aee3-188b2160cebc","1c98da25-e28d-4dbb-aee3-188b2160cebc","KTMMISDTKUMARAR","KTMMISDTKUMARAR","10.192.10.152",,,"completed","90","0","1","4","8","5/4/2026 9:51:25 PM","5/4/2026 9:51:33 PM","5/4/2026 9:51:33 PM","Memory Utilization: 80% (Warning)","KTMMISDTKUMARAR","Dell Inc.","OptiPlex 3060","SNPL\000971","Configured","Configured","2026-05-04 20:37:36","HOUSER","KB5082420; KB5083769","2026-04-20; 2026-04-20","Microsoft Windows 11 Business","10.0.26100","26100","AeXNSClient - Running","Enabled","Unknown","Unknown","Configured","5/4/2026 9:51:33 PM",,"False",,,
"591ff902-abfb-4566-bcef-030df7e9386d","591ff902-abfb-4566-bcef-030df7e9386d","ktmteclpmksrini","ktmteclpmksrini","10.192.10.186",,,"completed","100","0","0","5","6","5/4/2026 9:49:49 PM","5/4/2026 9:49:55 PM","5/4/2026 9:49:55 PM","","KTMHRDDTHRGATE","Dell Inc.","OptiPlex 3070","SNPL\TM0468","Configured","Configured","2026-05-04 21:25:09","HOUSER","KB5083769; KB5088467","2026-05-04; 2026-05-04","Microsoft Windows 11 Pro","10.0.26100","26100","AeXNSClient - Running","Enabled","Unknown","Unknown","Configured","5/4/2026 9:49:55 PM",,"False",,,
"e5b09e70-46f2-4601-938d-3267d06b7cd6","e5b09e70-46f2-4601-938d-3267d06b7cd6","ktmteclpmksrini","ktmteclpmksrini","10.192.10.186",,,"completed","100","0","0","5","7","5/4/2026 8:18:27 PM","5/4/2026 8:18:34 PM","5/4/2026 8:18:34 PM","","KTMHRDDTHRGATE","Dell Inc.","OptiPlex 3070","SNPL\TM0468","Configured","Configured","2026-05-04 19:42:08","HOUSER","KB5083769; KB5088467","2026-05-04; 2026-05-04","Microsoft Windows 11 Pro","10.0.26100","26100","AeXNSClient - Running","Enabled","Unknown","Unknown","Configured","5/4/2026 8:18:34 PM",,"False",,,
"0984179d-ee6e-4cce-ad8f-b23ed522fd6e","0984179d-ee6e-4cce-ad8f-b23ed522fd6e","SNVPLFCTLPAKASH","SNVPLFCTLPAKASH","10.192.61.114",,,"completed","90","0","1","2","47","5/4/2026 5:40:00 PM","5/4/2026 5:40:47 PM","5/4/2026 5:40:47 PM","Metric Collection (Warning)","SNVPLFCTLPAKASH",,,,,,,,,,,,,,,"Unknown","Unknown",,"5/4/2026 5:40:47 PM","Inventory collection failed: The RPC server is unavailable. ","False",,,
"4d7865e5-d2fb-4949-bd5d-d972fadc631f","4d7865e5-d2fb-4949-bd5d-d972fadc631f","SIMMISLPMURARI","SIMMISLPMURARI","10.192.16.153",,,"completed","100","0","0","5","15","5/4/2026 5:40:00 PM","5/4/2026 5:40:15 PM","5/4/2026 5:40:15 PM","","SIMMISLPMURARI","HP","HP EliteBook 840 14 inch G11 Notebook PC","SNPL\000874","Configured","Configured","2026-05-04 17:34:58","SIMUSER","KB5083769; KB5088467","2026-04-29; 2026-04-29","Microsoft Windows 11 Pro","10.0.26200","26200","AeXNSClient - Running","Enabled","Configured","Configured","Configured","5/4/2026 5:40:15 PM",,"False",,,
"0cdb9ca8-7698-443c-9689-d32fc5b8cbc2","0cdb9ca8-7698-443c-9689-d32fc5b8cbc2","PKRFCTDTSHIVAJI","PKRFCTDTSHIVAJI","10.192.19.134",,,"completed","100","0","0","5","14","5/4/2026 5:40:00 PM","5/4/2026 5:40:14 PM","5/4/2026 5:40:14 PM","","PKRFCTDTSHIVAJI","Dell Inc.","OptiPlex 3070-China HDD Protection","SNPL\000924","Configured","Configured","2026-05-04 17:08:19","PKRUSER","KB5083769; KB5088467","2026-04-27; 2026-04-27","Microsoft Windows 11 Pro","10.0.26100","26100","AeXNSClient - Running","Enabled","Unknown","Unknown","Configured","5/4/2026 5:40:14 PM",,"False",,,
